loan_id,customer_segment,province,industry,loan_type,origination_date,original_amount_vnd_mil,outstanding_balance_vnd_mil,term_months,interest_rate_pct,days_past_due,loan_classification,months_on_book,utilization_pct,vintage
LOAN00000001,Prime,Hà Nội,Xây dựng,Kinh doanh SME,2025-10-18,224035.5427832965,206862.4284656982,12,11.7742419628003,0.0,Nhóm 1 - Bình thường,0.9198423127463863,92.33464739378012,2025Q4
LOAN00000002,NTB,Hà Nội,Bán lẻ,Kinh doanh SME,2023-03-29,315623.1780532858,0.0,12,14.134192092262147,0.0,Nhóm 1 - Bình thường,31.603153745072273,0.0,2023Q1
LOAN00000003,Standard,TP. Hồ Chí Minh,Sản xuất,Corporate,2025-06-07,6885130.150817879,6126461.489597939,48,8.949241097117515,0.0,Nhóm 1 - Bình thường,5.289093298291721,88.98105562855892,2025Q2
LOAN00000004,Standard,Bình Dương,Xây dựng,Tiêu dùng,2023-03-01,49069.27417034219,0.0,12,16.371452492332896,0.0,Nhóm 1 - Bình thường,32.52299605781866,0.0,2023Q1
LOAN00000005,Prime,Hà Nội,Dịch vụ,Kinh doanh SME,2024-05-06,204046.351372642,48196.230826849416,24,11.87725415573495,0.0,Nhóm 1 - Bình thường,18.331143232588698,23.620236530880423,2024Q2
LOAN00000006,Prime,Khánh Hòa,Xây dựng,Thế chấp nhà,2025-08-08,572907.1497793028,557379.9356344958,120,8.524031989540484,0.0,Nhóm 1 - Bình thường,3.252299605781866,97.28975032851511,2025Q3
LOAN00000007,Prime,TP. Hồ Chí Minh,Công nghệ,Thế chấp nhà,2025-09-20,892713.8155682739,885870.8493954991,240,9.321122412711402,0.0,Nhóm 1 - Bình thường,1.8396846254927726,99.23346473937801,2025Q3
LOAN00000008,Sub-prime,Đồng Nai,Bán lẻ,Kinh doanh SME,2024-07-21,61416.18603236546,20895.76106028904,24,15.085647870099317,0.0,Nhóm 1 - Bình thường,15.83442838370565,34.02321506789313,2024Q3
LOAN00000009,Standard,Hải Phòng,Xây dựng,Thế chấp nhà,2023-07-04,169804.61069804407,142997.59721910403,180,10.932663247606534,0.0,Nhóm 1 - Bình thường,28.416557161629434,84.21302379909474,2023Q3
LOAN00000010,Standard,Hải Phòng,Sản xuất,Tiêu dùng,2024-02-05,66042.61469988337,26929.553541115387,36,16.845464811656523,0.0,Nhóm 1 - Bình thường,21.320630749014455,40.77602569718207,2024Q1
LOAN00000011,Prime,Khác,Dịch vụ,Kinh doanh SME,2025-10-08,507718.2004484815,490112.2619747606,36,12.484889667040099,0.0,Nhóm 1 - Bình thường,1.2483574244415243,96.53234048766244,2025Q4
LOAN00000012,NTB,Bà Rịa-Vũng Tàu,Bán lẻ,Ô tô,2025-07-26,542270.6250629865,509017.06067016214,60,12.033849986987619,0.0,Nhóm 1 - Bình thường,3.679369250985545,93.8677179150241,2025Q3
LOAN00000013,Sub-prime,Khác,Bán lẻ,Ô tô,2024-02-04,218720.02181636015,121419.31127880399,48,13.64839847711843,0.0,Nhóm 1 - Bình thường,21.353482260183966,55.51357862461674,2024Q1
LOAN00000014,Prime,Hà Nội,Sản xuất,Thế chấp nhà,2024-10-10,364533.155138075,324515.14287067245,120,9.454624337222539,0.0,Nhóm 1 - Bình thường,13.173455978975033,89.0221200175208,2024Q4
LOAN00000015,Prime,Hà Nội,Sản xuất,Kinh doanh SME,2024-10-31,43149.40130872821,20705.286523745843,24,12.268519067424721,0.0,Nhóm 1 - Bình thường,12.483574244415243,47.98510731493649,2024Q4
LOAN00000016,Prime,TP. Hồ Chí Minh,Vận tải,Thế chấp nhà,2025-08-30,493759.5437097818,486820.66853354196,180,8.81727763758931,0.0,Nhóm 1 - Bình thường,2.5295663600525624,98.59468535552635,2025Q3
LOAN00000017,Prime,TP. Hồ Chí Minh,Xây dựng,Tiêu dùng,2024-02-24,91356.04594872735,0.0,12,14.612542486325848,0.0,Nhóm 1 - Bình thường,20.69645203679369,0.0,2024Q1
LOAN00000018,Standard,TP. Hồ Chí Minh,Công nghệ,Tiêu dùng,2025-04-01,253076.95803416357,200421.87478132622,36,16.668265923879506,0.0,Nhóm 1 - Bình thường,7.490144546649145,79.1940429259746,2025Q2
LOAN00000019,Standard,TP. Hồ Chí Minh,Bất động sản,Thế chấp nhà,2024-07-19,1269438.726071152,1185337.7154192633,240,10.658383193377134,0.0,Nhóm 1 - Bình thường,15.900131406044677,93.37494524748139,2024Q3
LOAN00000020,Prime,TP. Hồ Chí Minh,Sản xuất,Tiêu dùng,2024-01-09,17790.326075969613,1328.624877771712,24,14.792290965282675,0.0,Nhóm 1 - Bình thường,22.207621550591327,7.468243539202801,2024Q1
LOAN00000021,Standard,TP. Hồ Chí Minh,Sản xuất,Corporate,2023-02-13,2374076.543957152,739494.166588493,48,9.305663395166395,0.0,Nhóm 1 - Bình thường,33.04862023653088,31.148707840560665,2023Q1
LOAN00000022,Prime,TP. Hồ Chí Minh,Sản xuất,Kinh doanh SME,2023-07-10,159779.95895041194,34532.67400151077,36,12.13210450571238,0.0,Nhóm 1 - Bình thường,28.21944809461235,21.612644181632355,2023Q3
LOAN00000023,Prime,Khác,Sản xuất,Kinh doanh SME,2022-12-12,271797.7977285059,0.0,24,11.914731570985685,0.0,Nhóm 1 - Bình thường,35.11826544021025,0.0,2022Q4
LOAN00000024,Prime,TP. Hồ Chí Minh,Xây dựng,Thế chấp nhà,2024-04-04,3689108.63680642,3291865.5911581893,180,8.965786197290537,0.0,Nhóm 1 - Bình thường,19.38239159001314,89.23200467221494,2024Q2
LOAN00000025,Standard,Hải Phòng,Bất động sản,Thế chấp nhà,2023-02-07,3988434.8755995547,3251776.952160595,180,10.247718145913172,0.0,Nhóm 1 - Bình thường,33.24572930354796,81.5301503869178,2023Q1
LOAN00000026,Sub-prime,TP. Hồ Chí Minh,Dịch vụ,Kinh doanh SME,2024-11-30,359796.15943310753,244880.97491567102,36,15.038616938037821,0.0,Nhóm 1 - Bình thường,11.498028909329829,68.06103080741714,2024Q4
LOAN00000027,Prime,Khác,Bán lẻ,Tiêu dùng,2024-01-12,71902.77297795216,5665.138541134096,24,15.002058539247844,0.0,Nhóm 1 - Bình thường,22.109067017082786,7.878887428821724,2024Q1
LOAN00000028,Standard,Khác,Bán lẻ,Thế chấp nhà,2025-03-02,541686.1789611303,503426.47841032775,120,10.943283777693829,0.0,Nhóm 1 - Bình thường,8.47568988173456,92.93692509855454,2025Q1
LOAN00000029,Standard,Đồng Nai,Sản xuất,Tiêu dùng,2025-09-21,10830.175616926987,9199.482288710318,12,16.50931576095418,0.0,Nhóm 1 - Bình thường,1.8068331143232588,84.9430573806395,2025Q3
LOAN00000030,Prime,Đồng Nai,Bán lẻ,Tiêu dùng,2022-11-30,358017.9319816924,4848.322848781163,36,15.277492793866836,0.0,Nhóm 1 - Bình thường,35.51248357424441,1.354212293765522,2022Q4
LOAN00000031,Standard,TP. Hồ Chí Minh,Nông nghiệp,Kinh doanh SME,2025-02-25,27255.634225488437,7631.696968306389,12,13.614208477140089,0.0,Nhóm 1 - Bình thường,8.639947437582128,28.000438020148934,2025Q1
LOAN00000032,Prime,Khác,Bán lẻ,Tiêu dùng,2024-05-27,9548.694115912025,2529.902038266443,24,14.725224098014348,0.0,Nhóm 1 - Bình thường,17.641261498028907,26.49474375821289,2024Q2
LOAN00000033,Prime,Khác,Xây dựng,Corporate,2023-04-07,131512016.11916184,45734700.52457602,48,7.049549837079965,0.0,Nhóm 1 - Bình thường,31.307490144546648,34.776062198861155,2023Q2
